id,job_title,generated_link,last_page_number,pagination_links,date_scraped
20,Registered Nurse,https://uk.indeed.com/jobs?q=Registered+Nurse&l=London,45,"['https://uk.indeed.com/jobs?q=Registered+Nurse&l=London', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=10', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=20', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=30', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=40', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=50', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=60', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=70', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=80', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=90', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=100', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=110', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=120', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=130', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=140', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=150', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=160', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=170', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=180', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=190', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=200', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=210', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=220', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=230', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=240', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=250', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=260', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=270', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=280', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=290', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=300', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=310', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=320', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=330', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=340', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=350', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=360', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=370', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=380', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=390', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=400', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=410', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=420', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=430', 'https://uk.indeed.com/jobs?q=Registered+Nurse&l=London&start=440']",2024-11-01 03:09:51.409051
21,Nurse Practitioner,https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London,29,"['https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=10', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=20', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=30', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=40', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=50', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=60', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=70', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=80', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=90', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=100', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=110', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=120', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=130', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=140', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=150', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=160', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=170', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=180', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=190', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=200', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=210', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=220', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=230', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=240', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=250', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=260', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=270', 'https://uk.indeed.com/jobs?q=Nurse+Practitioner&l=London&start=280']",2024-11-01 03:09:51.409051
22,Licensed Practical Nurse,https://uk.indeed.com/jobs?q=Licensed+Practical+Nurse&l=London,0,,2024-11-01 03:09:51.409051
23,Nurse Anesthetist,https://uk.indeed.com/jobs?q=Nurse+Anesthetist&l=London,1,['https://uk.indeed.com/jobs?q=Nurse+Anesthetist&l=London'],2024-11-01 03:09:51.409051
24,Clinical Nurse Specialist,https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London,12,"['https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London', 'https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London&start=10', 'https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London&start=20', 'https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London&start=30', 'https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London&start=40', 'https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London&start=50', 'https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London&start=60', 'https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London&start=70', 'https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London&start=80', 'https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London&start=90', 'https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London&start=100', 'https://uk.indeed.com/jobs?q=Clinical+Nurse+Specialist&l=London&start=110']",2024-11-01 03:09:51.409051
25,Nurse Midwife,https://uk.indeed.com/jobs?q=Nurse+Midwife&l=London,2,"['https://uk.indeed.com/jobs?q=Nurse+Midwife&l=London', 'https://uk.indeed.com/jobs?q=Nurse+Midwife&l=London&start=10']",2024-11-01 03:09:51.409051
26,Nurse Educator,https://uk.indeed.com/jobs?q=Nurse+Educator&l=London,6,"['https://uk.indeed.com/jobs?q=Nurse+Educator&l=London', 'https://uk.indeed.com/jobs?q=Nurse+Educator&l=London&start=10', 'https://uk.indeed.com/jobs?q=Nurse+Educator&l=London&start=20', 'https://uk.indeed.com/jobs?q=Nurse+Educator&l=London&start=30', 'https://uk.indeed.com/jobs?q=Nurse+Educator&l=London&start=40', 'https://uk.indeed.com/jobs?q=Nurse+Educator&l=London&start=50']",2024-11-01 03:09:51.409051
27,Neonatal Nurse,https://uk.indeed.com/jobs?q=Neonatal+Nurse&l=London,1,['https://uk.indeed.com/jobs?q=Neonatal+Nurse&l=London'],2024-11-01 03:09:51.409051
28,Critical Care Nurse,https://uk.indeed.com/jobs?q=Critical+Care+Nurse&l=London,7,"['https://uk.indeed.com/jobs?q=Critical+Care+Nurse&l=London', 'https://uk.indeed.com/jobs?q=Critical+Care+Nurse&l=London&start=10', 'https://uk.indeed.com/jobs?q=Critical+Care+Nurse&l=London&start=20', 'https://uk.indeed.com/jobs?q=Critical+Care+Nurse&l=London&start=30', 'https://uk.indeed.com/jobs?q=Critical+Care+Nurse&l=London&start=40', 'https://uk.indeed.com/jobs?q=Critical+Care+Nurse&l=London&start=50', 'https://uk.indeed.com/jobs?q=Critical+Care+Nurse&l=London&start=60']",2024-11-01 03:09:51.409051
29,Travel Nurse,https://uk.indeed.com/jobs?q=Travel+Nurse&l=London,1,['https://uk.indeed.com/jobs?q=Travel+Nurse&l=London'],2024-11-01 03:09:51.409051
30,Paediatric Nurse,https://uk.indeed.com/jobs?q=Paediatric+Nurse&l=London,4,"['https://uk.indeed.com/jobs?q=Paediatric+Nurse&l=London', 'https://uk.indeed.com/jobs?q=Paediatric+Nurse&l=London&start=10', 'https://uk.indeed.com/jobs?q=Paediatric+Nurse&l=London&start=20', 'https://uk.indeed.com/jobs?q=Paediatric+Nurse&l=London&start=30']",2024-11-01 03:09:51.409051
31,Physician Assistant,https://uk.indeed.com/jobs?q=Physician+Assistant&l=London,1,['https://uk.indeed.com/jobs?q=Physician+Assistant&l=London'],2024-11-01 03:09:51.409051
32,Physical Therapist,https://uk.indeed.com/jobs?q=Physical+Therapist&l=London,13,"['https://uk.indeed.com/jobs?q=Physical+Therapist&l=London', 'https://uk.indeed.com/jobs?q=Physical+Therapist&l=London&start=10', 'https://uk.indeed.com/jobs?q=Physical+Therapist&l=London&start=20', 'https://uk.indeed.com/jobs?q=Physical+Therapist&l=London&start=30', 'https://uk.indeed.com/jobs?q=Physical+Therapist&l=London&start=40', 'https://uk.indeed.com/jobs?q=Physical+Therapist&l=London&start=50', 'https://uk.indeed.com/jobs?q=Physical+Therapist&l=London&start=60', 'https://uk.indeed.com/jobs?q=Physical+Therapist&l=London&start=70', 'https://uk.indeed.com/jobs?q=Physical+Therapist&l=London&start=80', 'https://uk.indeed.com/jobs?q=Physical+Therapist&l=London&start=90', 'https://uk.indeed.com/jobs?q=Physical+Therapist&l=London&start=100', 'https://uk.indeed.com/jobs?q=Physical+Therapist&l=London&start=110', 'https://uk.indeed.com/jobs?q=Physical+Therapist&l=London&start=120']",2024-11-01 03:09:51.409051
33,Occupational Therapist,https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London,12,"['https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London', 'https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London&start=10', 'https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London&start=20', 'https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London&start=30', 'https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London&start=40', 'https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London&start=50', 'https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London&start=60', 'https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London&start=70', 'https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London&start=80', 'https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London&start=90', 'https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London&start=100', 'https://uk.indeed.com/jobs?q=Occupational+Therapist&l=London&start=110']",2024-11-01 03:09:51.409051
34,Speech-Language Pathologist,https://uk.indeed.com/jobs?q=Speech-Language+Pathologist&l=London,1,['https://uk.indeed.com/jobs?q=Speech-Language+Pathologist&l=London'],2024-11-01 03:09:51.409051
35,Respiratory Therapist,https://uk.indeed.com/jobs?q=Respiratory+Therapist&l=London,1,['https://uk.indeed.com/jobs?q=Respiratory+Therapist&l=London'],2024-11-01 03:09:51.409051
36,Radiologic Technologist,https://uk.indeed.com/jobs?q=Radiologic+Technologist&l=London,5,"['https://uk.indeed.com/jobs?q=Radiologic+Technologist&l=London', 'https://uk.indeed.com/jobs?q=Radiologic+Technologist&l=London&start=10', 'https://uk.indeed.com/jobs?q=Radiologic+Technologist&l=London&start=20', 'https://uk.indeed.com/jobs?q=Radiologic+Technologist&l=London&start=30', 'https://uk.indeed.com/jobs?q=Radiologic+Technologist&l=London&start=40']",2024-11-01 03:09:51.409051
37,Ultrasound Technologist,https://uk.indeed.com/jobs?q=Ultrasound+Technologist&l=London,1,['https://uk.indeed.com/jobs?q=Ultrasound+Technologist&l=London'],2024-11-01 03:09:51.409051
38,Medical Laboratory Technician,https://uk.indeed.com/jobs?q=Medical+Laboratory+Technician&l=London,1,['https://uk.indeed.com/jobs?q=Medical+Laboratory+Technician&l=London'],2024-11-01 03:09:51.409051
39,Cardiovascular Technologist,https://uk.indeed.com/jobs?q=Cardiovascular+Technologist&l=London,0,,2024-11-01 03:09:51.409051
40,Surgical Technologist,https://uk.indeed.com/jobs?q=Surgical+Technologist&l=London,1,['https://uk.indeed.com/jobs?q=Surgical+Technologist&l=London'],2024-11-01 03:09:51.409051
41,Dietitian/Nutritionist,https://uk.indeed.com/jobs?q=Dietitian/Nutritionist&l=London,1,['https://uk.indeed.com/jobs?q=Dietitian/Nutritionist&l=London'],2024-11-01 03:09:51.409051
42,Exercise Physiologist,https://uk.indeed.com/jobs?q=Exercise+Physiologist&l=London,1,['https://uk.indeed.com/jobs?q=Exercise+Physiologist&l=London'],2024-11-01 03:09:51.409051
43,Audiologist,https://uk.indeed.com/jobs?q=Audiologist&l=London,1,['https://uk.indeed.com/jobs?q=Audiologist&l=London'],2024-11-01 03:09:51.409051
44,Radiation Therapist,https://uk.indeed.com/jobs?q=Radiation+Therapist&l=London,1,['https://uk.indeed.com/jobs?q=Radiation+Therapist&l=London'],2024-11-01 03:09:51.409051
45,Phlebotomist,https://uk.indeed.com/jobs?q=Phlebotomist&l=London,1,['https://uk.indeed.com/jobs?q=Phlebotomist&l=London'],2024-11-01 03:09:51.409051
46,Medical Assistant,https://uk.indeed.com/jobs?q=Medical+Assistant&l=London,55,"['https://uk.indeed.com/jobs?q=Medical+Assistant&l=London', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=10', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=20', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=30', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=40', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=50', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=60', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=70', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=80', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=90', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=100', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=110', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=120', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=130', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=140', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=150', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=160', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=170', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=180', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=190', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=200', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=210', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=220', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=230', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=240', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=250', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=260', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=270', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=280', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=290', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=300', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=310', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=320', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=330', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=340', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=350', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=360', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=370', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=380', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=390', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=400', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=410', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=420', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=430', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=440', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=450', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=460', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=470', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=480', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=490', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=500', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=510', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=520', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=530', 'https://uk.indeed.com/jobs?q=Medical+Assistant&l=London&start=540']",2024-11-01 03:09:51.409051
47,Paramedic,https://uk.indeed.com/jobs?q=Paramedic&l=London,8,"['https://uk.indeed.com/jobs?q=Paramedic&l=London', 'https://uk.indeed.com/jobs?q=Paramedic&l=London&start=10', 'https://uk.indeed.com/jobs?q=Paramedic&l=London&start=20', 'https://uk.indeed.com/jobs?q=Paramedic&l=London&start=30', 'https://uk.indeed.com/jobs?q=Paramedic&l=London&start=40', 'https://uk.indeed.com/jobs?q=Paramedic&l=London&start=50', 'https://uk.indeed.com/jobs?q=Paramedic&l=London&start=60', 'https://uk.indeed.com/jobs?q=Paramedic&l=London&start=70']",2024-11-01 03:09:51.409051
48,Emergency Medical Technician,https://uk.indeed.com/jobs?q=Emergency+Medical+Technician&l=London,3,"['https://uk.indeed.com/jobs?q=Emergency+Medical+Technician&l=London', 'https://uk.indeed.com/jobs?q=Emergency+Medical+Technician&l=London&start=10', 'https://uk.indeed.com/jobs?q=Emergency+Medical+Technician&l=London&start=20']",2024-11-01 03:09:51.409051
49,Pharmacist,https://uk.indeed.com/jobs?q=Pharmacist&l=London,11,"['https://uk.indeed.com/jobs?q=Pharmacist&l=London', 'https://uk.indeed.com/jobs?q=Pharmacist&l=London&start=10', 'https://uk.indeed.com/jobs?q=Pharmacist&l=London&start=20', 'https://uk.indeed.com/jobs?q=Pharmacist&l=London&start=30', 'https://uk.indeed.com/jobs?q=Pharmacist&l=London&start=40', 'https://uk.indeed.com/jobs?q=Pharmacist&l=London&start=50', 'https://uk.indeed.com/jobs?q=Pharmacist&l=London&start=60', 'https://uk.indeed.com/jobs?q=Pharmacist&l=London&start=70', 'https://uk.indeed.com/jobs?q=Pharmacist&l=London&start=80', 'https://uk.indeed.com/jobs?q=Pharmacist&l=London&start=90', 'https://uk.indeed.com/jobs?q=Pharmacist&l=London&start=100']",2024-11-01 03:09:51.409051
50,Pharmacy Technician,https://uk.indeed.com/jobs?q=Pharmacy+Technician&l=London,5,"['https://uk.indeed.com/jobs?q=Pharmacy+Technician&l=London', 'https://uk.indeed.com/jobs?q=Pharmacy+Technician&l=London&start=10', 'https://uk.indeed.com/jobs?q=Pharmacy+Technician&l=London&start=20', 'https://uk.indeed.com/jobs?q=Pharmacy+Technician&l=London&start=30', 'https://uk.indeed.com/jobs?q=Pharmacy+Technician&l=London&start=40']",2024-11-01 03:09:51.409051
51,Clinical Pharmacist,https://uk.indeed.com/jobs?q=Clinical+Pharmacist&l=London,8,"['https://uk.indeed.com/jobs?q=Clinical+Pharmacist&l=London', 'https://uk.indeed.com/jobs?q=Clinical+Pharmacist&l=London&start=10', 'https://uk.indeed.com/jobs?q=Clinical+Pharmacist&l=London&start=20', 'https://uk.indeed.com/jobs?q=Clinical+Pharmacist&l=London&start=30', 'https://uk.indeed.com/jobs?q=Clinical+Pharmacist&l=London&start=40', 'https://uk.indeed.com/jobs?q=Clinical+Pharmacist&l=London&start=50', 'https://uk.indeed.com/jobs?q=Clinical+Pharmacist&l=London&start=60', 'https://uk.indeed.com/jobs?q=Clinical+Pharmacist&l=London&start=70']",2024-11-01 03:09:51.409051
52,Pharmaceutical Sales Representative,https://uk.indeed.com/jobs?q=Pharmaceutical+Sales+Representative&l=London,1,['https://uk.indeed.com/jobs?q=Pharmaceutical+Sales+Representative&l=London'],2024-11-01 03:09:51.409051
53,Pharmaceutical Research Scientist,https://uk.indeed.com/jobs?q=Pharmaceutical+Research+Scientist&l=London,4,"['https://uk.indeed.com/jobs?q=Pharmaceutical+Research+Scientist&l=London', 'https://uk.indeed.com/jobs?q=Pharmaceutical+Research+Scientist&l=London&start=10', 'https://uk.indeed.com/jobs?q=Pharmaceutical+Research+Scientist&l=London&start=20', 'https://uk.indeed.com/jobs?q=Pharmaceutical+Research+Scientist&l=London&start=30']",2024-11-01 03:09:51.409051
