id,job_search_id,date_scraped,page_number,job_title,company,location,posted_date,job_link,stars,job_type,full_description,apply_now_link
11,6,2024-11-01 03:13:49.623683,1,Spinal Fellow,Royal National Orthopaedic Hospital NHS Trust,Stanmore HA7 4LP,15 days ago,https://uk.indeed.com/rc/clk?jk=312b853cf557eba0&bb=vJrbYTr8WNe9glV7-TBCpUwRWP_sISc34jaLLPtXmC95nhrcnsftFxwTe-SDYCDmicTvca8ElhjOjwHiPupD4xzcFWybrxxRyPCyt1AOY7IMWVI4nxTBL2F_w10Y2N6p&xkcb=SoCn67M36y-33-0RgZ0DbzkdCdPP&fccid=2b066c4e18dab8b4&vjs=3,,,,
12,6,2024-11-01 03:13:49.623843,1,Veterinary Surgeon,Vets for Pets,Sydenham SE26 4PU,24 days ago,https://uk.indeed.com/rc/clk?jk=69438acd76b4a117&bb=vJrbYTr8WNe9glV7-TBCpQJUHOIubvowOP6QjxamtCHx-_aXT3MpMo5t2plX5GRnvbH6FTQNkznDrX1_6iA6dZcbAAw_Rrs3DYJymIbcv2pbzXNo5yxXs9TJlnQFYDGJ&xkcb=SoAT67M36y-33-0RgZ0CbzkdCdPP&fccid=a5d669a6fffd5d16&vjs=3,,,,
13,6,2024-11-01 03:13:49.624003,1,Staff Nurse - Pre-Assessment,Nuffield Health,Brentwood,Just posted,https://uk.indeed.com/rc/clk?jk=e10c2adc68499578&bb=vJrbYTr8WNe9glV7-TBCpcwv1VXciAwSn0o2tr7nAdR7qOHxkN22wtiDnRoE1BNAs9h_tXmqS1ZC5xEocgiWVJE2ujAiyNKhNwQO3NCq9e21MoVfkoKtVRDIZsTLOg9e&xkcb=SoCO67M36y-33-0RgZ0BbzkdCdPP&fccid=3aca82fe33580650&vjs=3,,,,
14,6,2024-11-01 03:13:49.624052,1,N/A,N/A,N/A,N/A,N/A,,,,
15,6,2024-11-01 03:13:49.624229,1,Mammographer ( 6 Month Fixed Term),Bupa,London EC2N 2HD,21 days ago,https://uk.indeed.com/rc/clk?jk=9a36e8116cd28bce&bb=vJrbYTr8WNe9glV7-TBCpRKMVmV5eAkWt8GYzr378vIFBS7zwrW5bxpwuiucaxIz7bZgaoqD3gpVoYSdpvH8tTvzZ-6krv7AXHJXAdzCsGDL3nve5L-Fx9V6xfvmAs2K&xkcb=SoA667M36y-33-0RgZ0AbzkdCdPP&fccid=18a7374fde10337f&vjs=3,,,,
16,6,2024-11-01 03:13:49.624390,1,Registered Nurse,Imperial College Healthcare NHS Trust,London W2 1NY,6 days ago,https://uk.indeed.com/rc/clk?jk=b41d37ea7a577ffb&bb=vJrbYTr8WNe9glV7-TBCpWVrW5-6-r5YjoULfc2EeKtolWuqjte_RQhQ4Bogg2yj9MOTxgXKoSFFe2pabY1txrAmaLzpaXUZ3m_7jEx1ip1hq09ZKrZaaQ%3D%3D&xkcb=SoC067M36y-33-0RgZ0HbzkdCdPP&fccid=54ea7ad09962ab3c&vjs=3,3.7,"£35,964 - £43,780 a year","An exciting opportunity for a registered nurse to join our our welcoming Orthopaedic Virtual Fracture Clinic and Fracture Clinic and team within the Trauma Directorate at St Marys Hospital London. We are looking to recruit a Band 5 Virtual Fracture Clinic Nurse who is keen to utilise their orthopaedic knowledge and skills, to provide safe, effective, efficient care for our Virtual Fracture and General Orthopaedic Clinic patients. We are looking for an energetic, dynamic, team player who wishes to further develop their clinical knowledge and management skills.We are searching for a nurse, with exemplary problem solving skills; ready to support the service leads as well as the Clinic Sister to support with the operational working within the fracture clinic on a day-to-day basis. A nurse prepared to make a positive impact towards our patient's care and outcomes while role modelling our Trust's values and expected behaviours.The successful applicant must poses demonstrable communication, organisational and clinical skills as well as Orthopaedic nursing care management and must be committed to the continuous development of our staff and students while working as a visible role model.In return, we are committed to the training and development of our staff within a diverse, supported, stimulating, challenging work environment.As part of our commitment to providing the highest quality service to our patients, the post holder will be empowered to improve the VFC patient pathways of care utilising digital platforms. The post holder will also work within nurse - led clinics run in parallel with orthopaedic surgeons as well as provide support to the Fracture Clinic face-toface care where necessary and have an active involvement in multidisciplinary team meetings to help shape patient care.The post holder will work with the department manager and multi-disciplinary team members in monitoring and maintaining policies, standards of nursing care and staff development and there will also be a requirement to undertake audit and present data findings at departmental meetings. The VFC Nurse, as part of the clinic team, will be flexible in the approach to the clinical area and provide cover for any area specified as necessary.At Imperial College Healthcare you can achieve extraordinary things with extraordinary people, working with leading clinicians pushing boundaries in patient care.Become part of a vibrant team living our values - expert, kind, collaborative and aspirational. You’ll get an experience like no other and will fast forward your career.Benefits include career development, flexible working and wellbeing, staff recognition scheme. Make use of optional benefits including Cycle to Work, car lease schemes, season ticket loan or membership options for onsite leisure facilities.We are committed to equal opportunities and improving the working lives of our staff and will consider applications to work flexibly, part time or job share. Please talk to us at interview.The full job description provides an overview of the key tasks and responsibilities of the role and the person specification outlines the qualifications, skills, experience and knowledge required.For both overviews please view the Job Description attachment with the job advert.",https://uk.indeed.com/applystart?jk=b41d37ea7a577ffb&from=vj&pos=bottom&mvj=0&spon=0&sjdu=mcLJI0lO9xR5mAT-NkUfzYDDplm6SwWjHcxyoDIphKl3C9l0aItXq0c8yv32wtcpfpmL83NHAAdma2p1KJMhuYIvGHPDqKxNUA2L0B5GjrFLOoPK7Ta7GVNRjwk0B4KXftNQ5_ZakJ-r5ZX-Eem5PZPZsosJLthdImre0u0eQW9Yx2jdW2qlCSjBMJNoffe5w9_XINGINv7OnqX9-Wv1cg&vjfrom=serp&asub=mob&astse=0b833230061091ed&assa=3528
17,6,2024-11-01 03:13:49.624549,1,Anaesthetic Staff Nurse - QEH Theatre,Lewisham and Greenwich NHS Trust,London SE18 4QH,10 days ago,https://uk.indeed.com/rc/clk?jk=1542eac4136b2230&bb=vJrbYTr8WNe9glV7-TBCpY__ckfGEleCkbqPGKY8JBJD77UYE3JQa2wHrRHlF3ywwmP3vZ5H021iF9kQCuG0HUxsE3i4OuNeteLwII8gzPrjOahNu89qZtz2DM1ZrEtJ&xkcb=SoAA67M36y-33-0RgZ0GbzkdCdPP&fccid=c6ef538c46f012b9&vjs=3,,,,
18,6,2024-11-01 03:13:49.624708,1,Lead Veterinary Surgeon,Animal Ark Veterinary Centre Goodmayes Essex,London IG3 8TW,30+ days ago,https://uk.indeed.com/rc/clk?jk=794ab144e254d704&bb=vJrbYTr8WNe9glV7-TBCpfh2lZpCX0_GZrCrtnRbkiFPENnKE7tV1WyiZTIUt85aGzuCkDMZD8Y_Qe1H9MaQyV419k3gIlSsCT9lLHIkjs--peuS4s8d4TgxRwOStK8s&xkcb=SoCd67M36y-33-0RgZ0FbzkdCdPP&fccid=4ad80ecc8af5cfa7&vjs=3,,,,
19,6,2024-11-01 03:13:49.624862,1,Senior Clinical Fellow in Trauma & Orthopaedic Surgery,University College London Hospitals NHS Foundation...,London NW1 2PG,6 days ago,https://uk.indeed.com/rc/clk?jk=8a12ce0d059c7e49&bb=vJrbYTr8WNe9glV7-TBCpYxEI8LdtH1lXLu7tZXmg88JG6xoQxk_z0CgsI9jm3zYyZuG0OuI8tTbXhflRpiHUmbuksq-CoO2th_tsqLHpbVHcPrVDCAtE41xBQd962qa&xkcb=SoAp67M36y-33-0RgZ0EbzkdCdPP&fccid=7691ebb71b24124c&vjs=3,,,,
20,6,2024-11-01 03:13:49.624909,1,N/A,N/A,N/A,N/A,N/A,,,,
21,27,2024-11-01 03:13:49.712851,1,Nursery Nurse/Nursing Associate for Neonatal Transitional Care,Chelsea and Westminster Hospital NHS Foundation...,London TW7,Just posted,https://uk.indeed.com/rc/clk?jk=fee22829d99914cc&bb=eRrEa85v6iNoHo1erKj1NlzDtSP_GqnbzJX-eI-lNuTqrJ3iWVbsyYnUKNZWB_pCYpDasMiX_dhkWyPrjgaxdCR4Ws8jfHy__jYnc52qUTnd2A36F6vqB_QKWNj_8ahk&xkcb=SoA_67M36y-32q0RgZ0LbzkdCdPP&fccid=7691ebb71b24124c&vjs=3,,,,
22,27,2024-11-01 03:13:49.713042,1,Staff Nurse - Neonatal Intensive Care Unit,King's College Hospital NHS Foundation Trust,London SE5 9RS,2 days ago,https://uk.indeed.com/rc/clk?jk=2759afe77b2366eb&bb=eRrEa85v6iNoHo1erKj1NmqyTYI6adOz5h669kzX9erIGvMqff22ENe29Y16fjQmmYxlGnX6FmPbsfAZ-k3S1fTw7AZwhAabxmIfg_NJ0LiIdLfZRFpnRU6PBCMAqWDw&xkcb=SoCL67M36y-32q0RgZ0KbzkdCdPP&fccid=bd96a66b6ef16b46&vjs=3,,,,
23,27,2024-11-01 03:13:49.713221,1,Band 5 Neonatal Staff Nurse,"Barking, Havering and Redbridge University...",Romford RM7 0AG,2 days ago,https://uk.indeed.com/rc/clk?jk=9f79712c50f27b46&bb=eRrEa85v6iNoHo1erKj1Np4XO1_7dWzy5wHLrp4WMdcmuEEtEdSgfJl66xT89panYse2gExrtZw1aXSqy9vLn2tIH7AY7u49bwjXj-_NT5ijbT5NJM5RAQ%3D%3D&xkcb=SoAW67M36y-32q0RgZ0JbzkdCdPP&fccid=b06e96b1846517f7&vjs=3,,,,
24,27,2024-11-01 03:13:49.713391,1,Band 5 Nurse Children’s Services,Barking Havering and Redbridge Univ Hospitals NHS...,Romford RM7 0AG,Just posted,https://uk.indeed.com/rc/clk?jk=0f8429fce5c71a3c&bb=eRrEa85v6iNoHo1erKj1Nj-6pOo0HmO6YpgCK8JSiG14xkn4W-6XCpi2Bzckxe_r237OlnWBwK5oaP6wqAyf7R2Qq_2FQIZ11cCou1k0IoIdIE2wZIBqBjn7jYlZNVFW&xkcb=SoCi67M36y-32q0RgZ0IbzkdCdPP&fccid=b06e96b1846517f7&vjs=3,3.7,"£18,381 - £22,376 a year","Our Children’s nursing team is expanding, and is led by our Director of Nursing for Child Health, a Trust wide role to ensure children and young people receive high quality care wherever they access services across our organisation. When you come here you’ll always be learning; developing your knowledge and ensuring your skills are kept fully up to date. You will be supported by Clinical Nurse Educator, Advanced Neonatal Nurse Practitioners and Quality managers, together with a friendly multidisciplinary team and a corporate training and development team. We have in house leadership programmes and work with a range of universities to ensure you can progress through academic pathways in order to support your career development.Applications are then invited for a Band 5 to apply for permanent position on the Children and Young People's Assessment Unit. The successful candidate must have excellent communication skills, an ability to work as part of the multi-disciplinary team and has a positive attitude to service developments. So if you are an enthusiastic, dynamic and highly motivated nurse who is committed, caring and compassionate come and join our fantastic team. Your professional development will be encouraged and supported.The post holder is responsible for assessment of care needs of patients, planning programmes of care, implementation and evaluation of these programmes without direct supervision. To assist with education and supervision of learners. At times expected to being in-charge of the ward / shift and to supervise and co-ordinate other staffs as appropriate, develops self and others professionally.We’re an organisation that is getting better and better. We were the most improved Trust in England for A&E performance in 2023/24; we’re no longer in special measures; and Matthew Trainer, our Chief Executive, has been named the top CEO by the Health Service Journal. Our improvements are driven by a determination to deliver care we’re proud of and that our patients are happy with.Many of our 8,000 staff – who come from 146 different countries - live in the three diverse London boroughs we serve and the majority are from black, Asian and minority ethnic groups. More than 400 of them are on apprenticeship programmes and we’re proud to be a London Living Wage employer.We operate from two main sites - King George Hospital (KGH) in Goodmayes and Queen’s Hospital in Romford. We have two of the busiest emergency departments in London – more than 300,000 people visited our A&Es in 2023.Patients across north east London are benefitting from two new state of the art theatres at KGH and our Community Diagnostic Centres at Barking Community Hospital and St George’s Health and Wellbeing Hub will significantly increase the number of scans that can be carried out.We’re looking forward to introducing an electronic patient record next year. This will mean the records of any patient visiting one of the seven hospitals run by BHRUT and Barts Health will be accessible to the clinical teams. It’ll make things easier for staff and will be better for patients.For further information on this role, please see the attached detailed Job Description and Person Specification.The person specification listed below is not the full specification requirements for the role. Please ensure you review the full specification on the job description prior to submitting your application.Applicants are advised to read all the information on the advert and the supporting information before completing and submitting an application. As you complete your application please ensure you clearly demonstrate how you meet the criteria in the person specification for this post by adequately completing the supporting information section of the application form.All new staff appointed at the Trust are subject to a probationary period.Applications should be made online, however, queries regarding the application process, assistance with completion of the application form or if you require any adjustments (for applicants with a disability) please contact Nadeem Arif, Recruitment Advisor, on 01708 435000 ext. 5938. Further details regarding the post may be obtained by contacting the manager as per the contact details above.",https://uk.indeed.com/applystart?jk=0f8429fce5c71a3c&from=vj&pos=bottom&mvj=0&spon=0&sjdu=mcLJI0lO9xR5mAT-NkUfzYDDplm6SwWjHcxyoDIphKnaXo1sVijMd0xAJI01eMszM3FBNAz4R_uBB0vHRPfTKzXquKZANeWZ72ruYklXpyjW_u3G7Z5cX4NpIbH7LbYVr4NwtDKE4id-TOBds2oTyHJhar-BB2-DIRyiNqRS5nyleJQr2UTUGB-uAESUf_kOw9_XINGINv7OnqX9-Wv1cg&vjfrom=serp&asub=mob&astse=f5e5394c518044a2&assa=3472
25,27,2024-11-01 03:13:49.713555,1,Staff Nurse (Neonatal Unit),Croydon Health Services NHS Trust,Croydon,9 days ago,https://uk.indeed.com/rc/clk?jk=8421650c97cdb210&bb=eRrEa85v6iNoHo1erKj1NmKVIghhzwlGEqvNYCm_5RzgrjzkMiee82GcMV22PigfaVl-6DnHpWpTNl0eNIV5lWOIDOZMb6kWGG7yarjBtoWR5EFNk3B1sA%3D%3D&xkcb=SoAs67M36y-32q0RgZ0PbzkdCdPP&fccid=7691ebb71b24124c&vjs=3,,,,
26,27,2024-11-01 03:13:49.713612,1,N/A,N/A,N/A,N/A,N/A,,,,
27,27,2024-11-01 03:13:49.713780,1,Neonatal Specialist Nurse,London North West University Healthcare NHS Trust,London HA1 3UJ,15 days ago,https://uk.indeed.com/rc/clk?jk=05cf06043c113c3d&bb=eRrEa85v6iNoHo1erKj1Nvh106SVP9V5P6RI1lNUhEYgJos7a1KFil0BsQjgMDes6ya2u43vp8MMdh-YWsj0oDHIxxCqtw92ihFTi5HZOfS1xkPHN-80MLei3cNsFyv8&xkcb=SoCY67M36y-32q0RgZ0ObzkdCdPP&fccid=7691ebb71b24124c&vjs=3,,,,
28,27,2024-11-01 03:13:49.713948,1,Community Children's Staff Nurse,Epsom and St Helier University Hospitals NHS Trust,Carshalton,2 days ago,https://uk.indeed.com/rc/clk?jk=51e911b44221a764&bb=eRrEa85v6iNoHo1erKj1NoD7HhkPpvAlG6bC2Czt18x8GPmvasQK5vXk0F8QxKBIruj9X3dMAIS6zP-nh6gkjviNkpvMiYf9F115pKIBN8RJrI5CIpInht389oAZjQh4&xkcb=SoAF67M36y-32q0RgZ0NbzkdCdPP&fccid=7691ebb71b24124c&vjs=3,,,,
29,27,2024-11-01 03:13:49.714123,1,Hospital Nursery Nurse,NHS Professionals,Thornton Heath,30+ days ago,https://uk.indeed.com/rc/clk?jk=1fe7bba8cdb64d1e&bb=eRrEa85v6iNoHo1erKj1Nr0BYwBgzyShyG-OXP8eFQV6e-2tJ-MHzBrjptAyVDOM-LtrodYqdUxOxms0Z6-FmgyDKPJE2nJAvAYhjsd5dL-yxzYY9tsGDnAHAnG9HUIO&xkcb=SoCx67M36y-32q0RgZ0MbzkdCdPP&fccid=38b7144572a908fb&cmp=NHS-Professionals&ti=Nursery+Nurse&vjs=3,,,,
30,27,2024-11-01 03:13:49.714295,1,Junior Sister,Chelsea and Westminster Hospital NHS Foundation...,London TW7,Just posted,https://uk.indeed.com/rc/clk?jk=681e11b6fa8e850f&bb=eRrEa85v6iNoHo1erKj1NtxEQo9pEnt_n9KaaLegNkxnyT3XU10Gpvy2Qg-xn9tHkZfKjVA7K8FrWzV1QfXkmwiQEtoNm8EBSutLxBZMosombnoT0F6F2mTZbs0zHCOm&xkcb=SoBY67M36y-32q0RgZ0DbzkdCdPP&fccid=7691ebb71b24124c&vjs=3,,,,
31,27,2024-11-01 03:13:49.714468,1,Clinical Governance and Risk Nurse / Senior Sister (NICU),Whittington Health NHS Trust,London N19 5NF,9 days ago,https://uk.indeed.com/rc/clk?jk=10783103c6f17867&bb=eRrEa85v6iNoHo1erKj1NkzmB6BuF3JSfsWAV3N0WpFlAx7FEQhbv3TwxnigFJeHFmflagM8ctEpvN7II5cxJaAWrGMqW35ULo80IS6dYzs1ITOypeGkgUbkQX9beR53&xkcb=SoDs67M36y-32q0RgZ0CbzkdCdPP&fccid=7691ebb71b24124c&vjs=3,,,,
32,27,2024-11-01 03:13:49.714517,1,N/A,N/A,N/A,N/A,N/A,,,,
33,27,2024-11-01 03:13:49.714693,1,Clinical Governance and Risk Nurse / Senior Sister (NICU),Whittington Hospital NHS Trust,London N19 5NF,9 days ago,https://uk.indeed.com/rc/clk?jk=e5a7daabf8cecd46&bb=eRrEa85v6iNoHo1erKj1Nh_8GvWB2EPEqAkYi_f8vN25KPPO3JRlkf3aDKd-BMIBPe65HGX_bWBOwLUWOaKYSvSpVr8GZdLfFxHKiVPN2v5G5_ZG36j34Q%3D%3D&xkcb=SoBx67M36y-32q0RgZ0BbzkdCdPP&fccid=32338b2e21bc9061&vjs=3,,,,
34,27,2024-11-01 03:13:49.714878,1,Registered NICU Nurse - London,Firstpoint Healthcare,London E9 6SR,8 days ago,https://uk.indeed.com/rc/clk?jk=f9781dba2c231eda&bb=eRrEa85v6iNoHo1erKj1NixlcVDuFeu-L8xq8c628FosMpwK6dqanAd7tPw_Or343i1zSthLbbHu6wmj7t9A7RsdPIYn2soizh-ejSxGUvYYw_s-3m8B4uUJ7GuWfXPD&xkcb=SoDF67M36y-32q0RgZ0AbzkdCdPP&fccid=bd19912a93ca01de&vjs=3,,,,
35,27,2024-11-01 03:13:49.715058,1,NICU Nurse,Firstpoint Healthcare,London E1,29 days ago,https://uk.indeed.com/rc/clk?jk=7bea4fc12b1fb5b3&bb=eRrEa85v6iNoHo1erKj1NizFMUXW6gh0FicwcumxFUGr5d_vY2uJbynN1mhhXRaaoKsQwZnl613jc_JVN7d1SVnxmFmg3CpxUr1YSZ_SkXyHkH_xKKqUGdahEXr41kCU&xkcb=SoBL67M36y-32q0RgZ0HbzkdCdPP&fccid=bd19912a93ca01de&vjs=3,,,,
36,15,2024-11-01 03:13:49.787338,1,Senior Program Coordinator,ISUOG,Hybrid work in London,10 days ago,https://uk.indeed.com/rc/clk?jk=cb72def590762960&bb=V48_GCQaZ0wPel7Mqci7tnfj5hSrGdS6OWMviKtD81wOvaS6gIH54AF76lfy0lp0WO_CmJeE3KX2YeRd0_dEgXsDzzTU7b_iqY47ffPjv-WLG3syWg0_VMkyTQdj8EXF&xkcb=SoDu67M36y-30cx7i50LbzkdCdPP&fccid=69078932e9312500&vjs=3,,,,
37,14,2024-11-01 03:13:49.801287,1,Self-Employed Consultant Urologist,PracticePlusGroup,Ilford IG3,24 days ago,https://uk.indeed.com/rc/clk?jk=c8eed5c9439b45bc&bb=hGIaAE5-jx9dozK9OUQLHjxIyDQZrj1z9GsJmXXrZvrrM0LT0JW4kBbov5AboK3XC8HhiH8MUAjtOBlumR_X3DhSVhcRDonl053DiOBWVBxRwNVAbw7bFfxjqGWyyJnH&xkcb=SoBh67M36y-304yKcx0LbzkdCdPP&fccid=0cf2644f39d77b9d&vjs=3,,,,
38,14,2024-11-01 03:13:49.801765,1,Consultant Urologist -Special Interest in Functional and Neuro-Urology,King's College Hospital NHS Foundation Trust,London SE5 9RS,15 days ago,https://uk.indeed.com/rc/clk?jk=1f58166d9463e2c9&bb=hGIaAE5-jx9dozK9OUQLHt5pHlLJetsZ-Hv7dqkWo769Ud-7QMZwmfiTVqzHVPb0_O_C1U1JrKfZ0K4DYIJgDtEXZZmx23cg3OG1pVDabCG1IHi1i6uwAIJdd0AKyNgn&xkcb=SoDV67M36y-304yKcx0KbzkdCdPP&fccid=bd96a66b6ef16b46&vjs=3,,,,
39,3,2024-11-01 03:13:49.852721,1,Locum Consultant Cardiologist,Epsom and St Helier University Hospitals NHS Trust,Carshalton,3 days ago,https://uk.indeed.com/rc/clk?jk=51a98f88c33736d7&bb=BOWmkQIGpvkK8pUevSqgAzM7Zht7qz68M58AZn6TzKX4mp1VRLmku6iUGQvv85Y824fjjM9zQXOwVuIX_Bekd7LFLdXRMZD9-4j6uo4jMZKJwNXFV2xvjIKzwMQ78kyH&xkcb=SoD967M36y-30U3Vph0LbzkdCdPP&fccid=7691ebb71b24124c&vjs=3,,,,
40,3,2024-11-01 03:13:49.852929,1,Market Development Specialist - Structural Heart,Medtronic,Watford,30+ days ago,https://uk.indeed.com/rc/clk?jk=78a48cce55297b1f&bb=BOWmkQIGpvkK8pUevSqgA6HyaJ2j_FFCfMosYf3BqNlDKnV2hI2QllKnv-AMSNxTHLrjXItWMZmC18wuhTAxiGcaOVPzeHW0s-6RgknIypZkVxZUQaUHWw%3D%3D&xkcb=SoBJ67M36y-30U3Vph0KbzkdCdPP&fccid=f06a4d05bf5510ec&vjs=3,,,,
41,3,2024-11-01 03:13:49.853103,1,Band 5 Cardiac Catheter Lab Staff Nurse Royal Brompton Hospital,Guy's and St Thomas' NHS Foundation Trust,London SW3,10 days ago,https://uk.indeed.com/rc/clk?jk=3fa292d4cfb4e7d2&bb=BOWmkQIGpvkK8pUevSqgA4hDpLyCQV5AZQ4ZS-4l-O7-u9kXPhD3zjCijG0KugqsHMU0-5L2j7AVvjXxhrveuHyCQcfTKmThPb6NajdR8AJGAWB5cpPAoA%3D%3D&xkcb=SoDU67M36y-30U3Vph0JbzkdCdPP&fccid=7691ebb71b24124c&vjs=3,,,,
42,3,2024-11-01 03:13:49.853272,1,Cardiac Cath Lab Radiographer,Surrey and Sussex Healthcare NHS Trust,Redhill RH1 5RH,1 day ago,https://uk.indeed.com/rc/clk?jk=faf0ed1f15f58f86&bb=BOWmkQIGpvkK8pUevSqgAxxaEcSKriZQRCNLh9mo3v5toSkKbAceus4LbPG0YwcDBObbTn6QEx5-aXbWxURUfjRt02K1S5g-vzyyh9TILbVrw731XngBRKjCyYV_RG2o&xkcb=SoBg67M36y-30U3Vph0IbzkdCdPP&fccid=c85aa457693fba8a&vjs=3,,,,
43,3,2024-11-01 03:13:49.853437,1,Highly Specialist Cardiac Physiologist (Echocardiographer),Guy's and St Thomas' NHS Foundation Trust,London SE1 7EH,Just posted,https://uk.indeed.com/rc/clk?jk=089a1f131f141f82&bb=BOWmkQIGpvkK8pUevSqgA3d5xZd4vxRzsRYHX9wEL3GpxIh5AoSFXjozpuLqhU7XOMGJcWmL78WPCHDyLAab_sef2rccGxW3jzsWgjU8Ab3upTxPJbredQ%3D%3D&xkcb=SoDu67M36y-30U3Vph0PbzkdCdPP&fccid=7691ebb71b24124c&vjs=3,,,,
44,3,2024-11-01 03:13:49.853491,1,N/A,N/A,N/A,N/A,N/A,,,,
